item,suite,condition,sentence,targets,competitors,l_maze,critical_region,region_number,freqlog10,len
1,SVNA-pp,match_plural,The authors next to the senator are good,The|authors|next|to|the|senator|are|good,x-x-x|aublars|oh|ha|whe|ranatar|ams|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.99122607569249|2.79098847508882|4.59683891382516|5.11650480266873|1.65321251377534|3.67348169707335|2.65224634100332,3|7|4|2|3|7|3|4
1,SVNA-pp,match_sing,The author next to the senators is good,The|author|next|to|the|senators|is|good,x-x-x|awbror|oh|ha|whe|senalist|os|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.23552844690755|2.79098847508882|4.59683891382516|5.11650480266873|1.34242268082221|4.0678888066854|2.65224634100332,3|6|4|2|3|8|2|4
1,SVNA-pp,mismatch_plural,The authors next to the senator is good,The|authors|next|to|the|senator|is|good,x-x-x|aublars|oh|ha|whe|ranatar|os|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.99122607569249|2.79098847508882|4.59683891382516|5.11650480266873|1.65321251377534|4.0678888066854|2.65224634100332,3|7|4|2|3|7|2|4
1,SVNA-pp,mismatch_sing,The author next to the senators are good,The|author|next|to|the|senators|are|good,x-x-x|awbror|oh|ha|whe|senalist|ams|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.23552844690755|2.79098847508882|4.59683891382516|5.11650480266873|1.34242268082221|3.67348169707335|2.65224634100332,3|6|4|2|3|8|3|4
2,SVNA-pp,match_plural,The pilots behind the teacher bring love to people,The|pilots|behind|the|teacher|bring|love|to|people,x-x-x|pirats|please|yeah|foucher|brint|lonk|jo|minute,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE,1|2|3|4|5|6|7|7|7,5.11650480266873|1.66275783168157|2.54530711646582|5.11650480266873|1.88649072517248|2.04532297878666|2.76789761601809|4.59683891382516|3.0068937079479,3|6|6|3|7|5|4|2|6
2,SVNA-pp,match_sing,The pilot behind the teachers brings love to people,The|pilot|behind|the|teachers|brings|love|to|people,x-x-x|pirat|please|yeah|learters|grings|lonk|jo|minute,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE,1|2|3|4|5|6|7|7|7,5.11650480266873|2.01703333929878|2.54530711646582|5.11650480266873|1.65321251377534|1.50514997831991|2.76789761601809|4.59683891382516|3.0068937079479,3|5|6|3|8|6|4|2|6
2,SVNA-pp,mismatch_plural,The pilots behind the teacher brings love to people,The|pilots|behind|the|teacher|brings|love|to|people,x-x-x|pirats|please|yeah|foucher|grings|lonk|jo|minute,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE,1|2|3|4|5|6|7|7|7,5.11650480266873|1.66275783168157|2.54530711646582|5.11650480266873|1.88649072517248|1.50514997831991|2.76789761601809|4.59683891382516|3.0068937079479,3|6|6|3|7|6|4|2|6
2,SVNA-pp,mismatch_sing,The pilot behind the teachers bring love to people,The|pilot|behind|the|teachers|bring|love|to|people,x-x-x|pirat|please|yeah|learters|brint|lonk|jo|minute,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE,1|2|3|4|5|6|7|7|7,5.11650480266873|2.01703333929878|2.54530711646582|5.11650480266873|1.65321251377534|2.04532297878666|2.76789761601809|4.59683891382516|3.0068937079479,3|5|6|3|8|5|4|2|6
3,SVNA-pp,match_plural,The doctors in front of the guard interest people,The|doctors|in|front|of|the|guard|interest|people,x-x-x|puctors|guys|truly|goes|tha|guoys|uncerers|daople,FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.38021124171161|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.02530586526477|2.32014628611105|3.0068937079479,3|7|2|5|2|3|5|8|6
3,SVNA-pp,match_sing,The doctor in front of the guards interests people,The|doctor|in|front|of|the|guards|interests|people,x-x-x|ructor|guys|truly|goes|tha|gulcts|emcerests|daople,FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.68124123737559|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|1.44715803134222|1.78532983501077|3.0068937079479,3|6|2|5|2|3|6|9|6
