"","condition","word_number","word","alternative","sentence","l_maze","critical_region","region_number","len","freqlog10","suite","item"
"1","practice",0,"The","x-x-x","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,3,5.11650480266873,"",201
"2","practice",1,"husband","hubtand","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,7,2.19865708695442,"",201
"3","practice",2,"of","ef","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,2,4.75611098671178,"",201
"4","practice",3,"the","tha","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,3,5.11650480266873,"",201
"5","practice",4,"beautiful","booltisul","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,9,1.82607480270083,"",201
"6","practice",5,"woman","wesan","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,5,2.37291200297011,"",201
"7","practice",6,"bought","accept","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,6,1.95904139232109,"",201
"8","practice",7,"her","lose","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,3,3.56478438450399,"",201
"9","practice",8,"roses","audit","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,5,0.903089986991944,"",201
"10","practice",9,"and","yeah","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,3,4.70531622468301,"",201
"11","practice",10,"candy","quest","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,5,1.04139268515823,"",201
"12","practice",11,"for","dor","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,3,4.1397217048152,"",201
"13","practice",12,"her","rer","The husband of the beautiful woman bought her roses and candy for her birthday","True","False",NA,3,3.56478438450399,"",201
"14","practice",13,"birthday","familiar","The husband of the beautiful woman bought her roses and candy for her birthday","False","False",NA,8,1.68124123737559,"",201
"15","practice",0,"The","x-x-x","The patient who the doctor treated became better after only a few treatments","False","False",NA,3,5.11650480266873,"",202
"16","practice",1,"patient","pateesh","The patient who the doctor treated became better after only a few treatments","True","False",NA,7,1.25527250510331,"",202
"17","practice",2,"who","lake","The patient who the doctor treated became better after only a few treatments","False","False",NA,3,3.48144262850231,"",202
"18","practice",3,"the","its","The patient who the doctor treated became better after only a few treatments","False","False",NA,3,5.11650480266873,"",202
"19","practice",4,"doctor","minute","The patient who the doctor treated became better after only a few treatments","False","False",NA,6,1.68124123737559,"",202
"20","practice",5,"treated","troured","The patient who the doctor treated became better after only a few treatments","True","False",NA,7,1.86332286012046,"",202
"21","practice",6,"became","bepime","The patient who the doctor treated became better after only a few treatments","True","False",NA,6,3.09898963940118,"",202
"22","practice",7,"better","moment","The patient who the doctor treated became better after only a few treatments","False","False",NA,6,2.36921585741014,"",202
"23","practice",8,"after","gotta","The patient who the doctor treated became better after only a few treatments","False","False",NA,5,3.57403126772772,"",202
"24","practice",9,"only","ha","The patient who the doctor treated became better after only a few treatments","False","False",NA,4,3.3142886609475,"",202
"25","practice",10,"a","e","The patient who the doctor treated became better after only a few treatments","True","False",NA,1,4.55819238923985,"",202
"26","practice",11,"few","wew","The patient who the doctor treated became better after only a few treatments","True","False",NA,3,2.72181061521255,"",202
"27","practice",12,"treatments","capitalist","The patient who the doctor treated became better after only a few treatments","False","False",NA,10,1.25527250510331,"",202
"28","practice",0,"Maya","x-x-x","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,4,1.6232492903979,"",203
"29","practice",1,"played","deyalp","Maya played with the blocks and the balls but she soon got bored with them","True","False",NA,6,2.87852179550121,"",203
"30","practice",2,"with","else","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,4,4.11437742978615,"",203
"31","practice",3,"the","why","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,3,5.11650480266873,"",203
"32","practice",4,"blocks","summit","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,6,1.83250891270624,"",203
"33","practice",5,"and","sir","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,3,4.70531622468301,"",203
"34","practice",6,"the","this","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,3,5.11650480266873,"",203
"35","practice",7,"balls","saint","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,5,1.61278385671974,"",203
"36","practice",8,"but","bup","Maya played with the blocks and the balls but she soon got bored with them","True","False",NA,3,3.62675085368339,"",203
"37","practice",9,"she","shi","Maya played with the blocks and the balls but she soon got bored with them","True","False",NA,3,3.46014581749175,"",203
"38","practice",10,"soon","dear","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,4,2.4996870826184,"",203
"39","practice",11,"got","nor","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,3,2.31597034545692,"",203
"40","practice",12,"bored","boves","Maya played with the blocks and the balls but she soon got bored with them","True","False",NA,5,0.845098040014257,"",203
"41","practice",13,"with","wiff","Maya played with the blocks and the balls but she soon got bored with them","True","False",NA,4,4.11437742978615,"",203
"42","practice",14,"them","link","Maya played with the blocks and the balls but she soon got bored with them","False","False",NA,4,3.17289469775218,"",203
"43","practice",0,"The","x-x-x","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,3,5.11650480266873,"",204
"44","practice",1,"therapist","tsipareht","The therapist set up a meeting with the upset woman and her husband yesterday","True","False",NA,9,0.903089986991944,"",204
"45","practice",2,"set","tet","The therapist set up a meeting with the upset woman and her husband yesterday","True","False",NA,3,2.87215627274829,"",204
"46","practice",3,"up","ut","The therapist set up a meeting with the upset woman and her husband yesterday","True","False",NA,2,3.28307497473547,"",204
"47","practice",4,"a","whom","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,1,4.55819238923985,"",204
"48","practice",5,"meeting","amazing","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,7,2.20411998265593,"",204
"49","practice",6,"with","east","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,4,4.11437742978615,"",204
"50","practice",7,"the","this","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,3,5.11650480266873,"",204
"51","practice",8,"upset","roman","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,5,1.69019608002851,"",204
"52","practice",9,"woman","brown","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,5,2.37291200297011,"",204
"53","practice",10,"and","sun","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,3,4.70531622468301,"",204
"54","practice",11,"her","ha","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,3,3.56478438450399,"",204
"55","practice",12,"husband","digital","The therapist set up a meeting with the upset woman and her husband yesterday","False","False",NA,7,2.19865708695442,"",204
"56","practice",13,"yesterday","yestercip","The therapist set up a meeting with the upset woman and her husband yesterday","True","False",NA,9,0.602059991327962,"",204
"57","filler",0,"The","x-x-x","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,3,5.11650480266873,"",215
"58","filler",1,"boy","bok","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,3,2.19865708695442,"",215
"59","filler",2,"who","jack","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,3,3.48144262850231,"",215
"60","filler",3,"was","map","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,3,4.32240538106765,"",215
"61","filler",4,"wearing","gniraew","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,7,1.85733249643127,"",215
"62","filler",5,"a","e","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,1,4.55819238923985,"",215
"63","filler",6,"blue","hear","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,4,2.46089784275655,"",215
"64","filler",7,"cap","blog","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,3,1.98227123303957,"",215
"65","filler",8,"went","soul","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,4,2.59988307207369,"",215
"66","filler",9,"missing","awesome","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,7,1.96848294855394,"",215
"67","filler",10,"on","yeah","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,2,4.18015455945335,"",215
"68","filler",11,"his","tis","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,3,3.95520653754194,"",215
"69","filler",12,"way","wal","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,3,2.82607480270083,"",215
"70","filler",13,"home","damn","The boy who was wearing a blue cap went missing on his way home last week","False","False",NA,4,2.89486965674525,"",215
"71","filler",14,"last","lars","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,4,2.8234742291703,"",215
"72","filler",15,"week","deek","The boy who was wearing a blue cap went missing on his way home last week","True","False",NA,4,2.63848925695464,"",215
"73","filler",0,"The","x-x-x","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,3,5.11650480266873,"",216
"74","filler",1,"thief","frief","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,5,1.30102999566398,"",216
"75","filler",2,"noticed","colonel","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,7,1.32221929473392,"",216
"76","filler",3,"the","ble","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,3,5.11650480266873,"",216
"77","filler",4,"boy","bok","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,3,2.19865708695442,"",216
"78","filler",5,"and","plus","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,3,4.70531622468301,"",216
"79","filler",6,"the","else","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,3,5.11650480266873,"",216
"80","filler",7,"girl","sir","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,4,2.23299611039215,"",216
"81","filler",8,"watching","expected","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,8,1.78532983501077,"",216
"82","filler",9,"him","lord","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,3,3.26599637049508,"",216
"83","filler",10,"from","fror","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,4,3.96520170102591,"",216
"84","filler",11,"the","tho","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,3,5.11650480266873,"",216
"85","filler",12,"upstairs","ruthless","The thief noticed the boy and the girl watching him from the upstairs window","False","False",NA,8,0.698970004336019,"",216
"86","filler",13,"window","gandow","The thief noticed the boy and the girl watching him from the upstairs window","True","False",NA,6,1.92427928606188,"",216
"87","filler",0,"Bill","x-x-x","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,4,2.3096301674259,"",217
"88","filler",1,"will","wids","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,4,2.90525604874845,"",217
"89","filler",2,"quit","kiss","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,4,1.43136376415899,"",217
"90","filler",3,"his","we","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,3,3.95520653754194,"",217
"91","filler",4,"job","hear","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,3,2.15836249209525,"",217
"92","filler",5,"next","anti","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,4,2.79098847508882,"",217
"93","filler",6,"month","click","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,5,2.45636603312904,"",217
"94","filler",7,"to","ass","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,2,4.59683891382516,"",217
"95","filler",8,"take","yeah","Bill will quit his job next month to take care of his kids and step-children","False","False",NA,4,2.72181061521255,"",217
"96","filler",9,"care","cank","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,4,2.08278537031645,"",217
"97","filler",10,"of","oy","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,2,4.75611098671178,"",217
"98","filler",11,"his","ris","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,3,3.95520653754194,"",217
"99","filler",12,"kids","kins","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,4,1.5910646070265,"",217
"100","filler",13,"and","ase","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,3,4.70531622468301,"",217
"101","filler",14,"step-children","nerdlihc-pets","Bill will quit his job next month to take care of his kids and step-children","True","False",NA,13,0,"",217
"102","filler",0,"Megan","x-x-x","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,5,1.43136376415899,"",219
"103","filler",1,"got","git","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,3,2.31597034545692,"",219
"104","filler",2,"angry","roman","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,5,1.56820172406699,"",219
"105","filler",3,"with","wich","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,4,4.11437742978615,"",219
"106","filler",4,"her","heg","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,3,3.56478438450399,"",219
"107","filler",5,"boss","bote","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,4,1.69019608002851,"",219
"108","filler",6,"and","ase","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,3,4.70531622468301,"",219
"109","filler",7,"sued","trek","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,4,1.17609125905568,"",219
"110","filler",8,"him","ha","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,3,3.26599637049508,"",219
"111","filler",9,"for","sor","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,3,4.1397217048152,"",219
"112","filler",10,"discrimination","derphecination","Megan got angry with her boss and sued him for discrimination last month","True","False",NA,14,1,"",219
"113","filler",11,"last","dad","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,4,2.8234742291703,"",219
"114","filler",12,"month","gotta","Megan got angry with her boss and sued him for discrimination last month","False","False",NA,5,2.45636603312904,"",219
"115","filler",0,"The","x-x-x","The pilot will fly a new airplane to Europe and back beginning next week","False","False",NA,3,5.11650480266873,"",220
"116","filler",1,"pilot","pirat","The pilot will fly a new airplane to Europe and back beginning next week","True","False",NA,5,2.01703333929878,"",220
"117","filler",2,"will","wull","The pilot will fly a new airplane to Europe and back beginning next week","True","False",NA,4,2.90525604874845,"",220
"118","filler",3,"fly","ylf","The pilot will fly a new airplane to Europe and back beginning next week","True","False",NA,3,2.11058971029925,"",220
"119","filler",4,"a","nor","The pilot will fly a new airplane to Europe and back beginning next week","False","False",NA,1,4.55819238923985,"",220
"120","filler",5,"new","been","The pilot will fly a new airplane to Europe and back beginning next week","False","False",NA,3,3.44216608578472,"",220
